title,link,description
Generation and tracking of cells with precise edits,https://techfinder.stanford.edu/technology/generation-and-tracking-cells-precise-edits,"Current methods of genetically-engineered cells require precise integration of genetic material. Genotyping is usually used to detect genetic edits; however, it's difficult to track the exact changes made in each individual cell in a large cellular mixture, especially when the cells receive multiple edits. While whole genome genotyping is available to track each cell in a mixture, the technique is expensive and time-consuming. Thus, there is a need for additional methodologies that enables quicker and cost-efficient tracking of genetic edits within cells of interest. The Fraser lab at Stanford has invented a genetic engineering platform that enables multiple cellular gene editing while tracking the exact edits being made. The invention consists of two or more CRISPEY modules covalently produced by the vector, where the combination of edits that will be made across all modules are predetermined. Each module applies edits of interest tagged with unique sequences that can be easily genotyped by DNA sequencing or other methods. When needed, the intended combination of precise edits for each can also be inferred by Sanger sequencing, NGS, or other detection methods. Unlike existing methods, the invention can be applied to a mixture of cells as well as single cell or clonal cell lineages, and provides an efficient, high-throughput, and low-cost method for genetic and cellular engineering. Applications include Tracking relative abundance of cells targeted by a mixture of edit in parallel, such as high-throughput precision editing genetic screens to:  improve industrial microbial growth select strains for improving crop yield track edited cell populations treated by genetic editing medicine track edited cell populations used in-cell therapy  , improve industrial microbial growth, select strains for improving crop yield, track edited cell populations treated by genetic editing medicine, track edited cell populations used in-cell therapy. Advantages of the device are High-throughput, cost-effective method compared to existing methods, Does not require integrating of vector into the genome, Detection of the first edit (label) that installs the unique sequencing indicates that the edit tool is functional, and higher likelihood of the rest of the cells containing the second edit that is intended, important for isolating edited cells of interest., Edits made to the same target cell iteratively can be tracked by reading past unique barcodes installed into the genetic material, The barcode label can also be associated with antibiotic markers or other markers that allow cell purification."
Improved cfDNA methylation profiling through correction of misrepaired jagged-ends,https://techfinder.stanford.edu/technology/improved-cfdna-methylation-profiling-through-correction-misrepaired-jagged-ends,"Stanford researchers have developed an in silico method, JEEPERS, that corrects DNA methylation errors at jagged-ends, improving cfDNA methylation profiling for early cancer detection and tissue-of-origin classification. Cell free DNA (cfDNA) methylation profiling allows early cancer detection and tissue-of-origin classification. However, end repair process during library preparation for cfDNA sequencing may introduce changes in methylation patterns. To address this issue, Stanford researchers have developed JEEPERS (Jagged-End Error Polishing of Enzymatically misRepaired Sequences), a novel in silico method for correcting errors in methylation data resulting from the end repair process in double-stranded library preparation. It detects and corrects errors at jagged-ends (JEs) in silico, leveraging support from complementary strands and sibling reads. Stage of Development Proof of Concept Applications include Early cancer detection. Advantages of the device are Superior cfDNA genotyping, Identification of allele-specific methylation, hemi-methylation, and gene expression, Compatible with other methylation datasets, Low cost."
B7H3-Targeting Peptides,https://techfinder.stanford.edu/technology/b7h3-targeting-peptides,"Theranostics represents a paradigm shift in cancer treatment, offering a more personalized and molecular approach to cancer diagnosis and treatment with striking efficacy and low toxicity. The significance of theranostics therefore lies in its ability to personalize and optimize medical treatments by tailoring them to individual patients. B7H3 is a transmembrane protein, that has recently been identified as a pan-cancer antigen with dense expression across a multitude of cancer types and with restricted expression in normal tissue, rendering B7H3-targeted radiotheranostics a viable treatment option for millions of patients. Despite the promise of B7H3, no peptide ligands have been identified. Furthermore, because the protein lacks structural and functional characterization there is currently no a priori way to design ligands. Stanford researchers have discovered B7H3-targeting peptides from peptide phage display that can be used for cancer theranostic applications, such as for diagnostic imaging and peptide-targeted radionuclide therapy. This would allow for both the diagnosis and treatment of various advanced or refractory cancers lacking other viable therapies. The newly identified peptide is the first peptide identified specific to B7H3, and when chelated to 68Ga and 177Lu, the first radionuclide therapy for B7H3. Researchers predict that the B7H3 peptide-targeted radiotherapeutics would have preferential uptake in tumor tissue where the majority of DNA damage would occur, with timely elimination from clearance organs. Stage of Development In vitro and in vivo: proof of concept in cell lines Applications include Cancer diagnostic, Radionuclide cancer therapy, Cancer theranostics. Advantages of the device are Cost effective synthesis, Can be used to diagnose and treat a range of resistant and refractory cancer types, Favorable pharmacokinetics, First peptides identified specific to B7H3  Can chelate 68Ga and 177Lu for radionuclide therapy  , Can chelate 68Ga and 177Lu for radionuclide therapy."
Efficient wide-field nanosecond imaging methods using Pockels cells for low-light applications,https://techfinder.stanford.edu/technology/efficient-wide-field-nanosecond-imaging-methods-using-pockels-cells-low-light,"Stanford researchers at the Kasevich Lab have developed a module that can attach to any standard optical system or sensor for wide-field, time-resolved imaging. This invention enables nanosecond image gating and modulation in low-light conditions, opening new applications for wide-field imaging such as fluorescence lifetime imaging microscopy (FLIM). This technology enables the first wide-field lifetime camera that is compatible with single-molecule microscopy. Existing sensors for wide-field nanosecond imaging (e.g. time-of-flight cameras, SPAD arrays, and gated intensifiers) sacrifice performance and are not compatible with low-light applications in bioimaging and fluorescence microscopy. The researchers have demonstrated the use of electro-optic wide-field imaging gates for nanosecond temporal resolution with high photon collection efficiency. Their method enables wide-field FLIM in a single exposure image on any standard camera sensor. By acquiring all pixels in parallel they demonstrate 5 orders of magnitude improvement in imaging speeds compared to single photon counting. They have also demonstrated 39 MHz image modulation for fluorescence lifetime microscopy of single molecules at high frame rate. This allows FLIM applications in super-resolution microscopy and observations of single-molecule dynamics such as FRET. Prototypes have been tested on commercial microscopes. On-going work: Researchers are continuing to improve the technique to allow larger imaging field-of-view, higher frequency operation, and improved electro-optic configurations. A compact and user-friendly module for MHz resonant image modulation is under development. The inventors have expanded upon this technology in  Stanford Docket 19-424: Wide-field Resonant Electro-optic Imaging Devices and Applications . Stage of Development: Figures:  Figure description-  A) Schematic of Pockels cell detection with two temporal bins. Input from an imaging system (pulsed excitation and fluorescence from a microscope is drawn) is split by two polarizing beam-splitters before and after Pockels cell. All emitted photons are captured in four spatially separated images on any standard detector. Image intensities on the sensor encode temporal information from the Pockels cell modulation. Any modulation V(t) may be applied.  Figure description- Wide-field FLIM Examples: (a) FLIM image of a mouse kidney slice differentiating two fluorophores by lifetime (b) Single-molecule FLIM image on a mixture of molecules having different lifetimes – dynamics for each molecule may be observed at high frame-rate (see Publications) - 10 µm scalebar  (c) Combination of FLIM and single-molecule super-resolution microscopy. Lifetime is measured for each single molecule burst and plotted at the localization coordinate (1 µm scalebar, 100 nm inset) Movie 1: Propagating action potentials. Electrical activity of a single neuron in a living fruit fly (Drosophila) using fluorescence lifetime.  Movie 2: Propagating action potentials. Electrical activity of a single neuron in a living fruit fly (Drosophila) using fluorescence lifetime.  Movie 3: Propagating action potentials. Electrical activity of a single neuron in a living fruit fly (Drosophila) using fluorescence lifetime.  Applications include Fluorescent lifetime imaging microscopy (FLIM), Single-molecule FLIM and FRET imaging, Wide field lock-in detection and modulated imaging, Imaging FRET probes such as voltage indicators, Combination of FLIM with super-resolution and single-molecule microscopy, Combination of FLIM with light-sheet microscopy, Endoscopic imaging and clinical diagnostics, LIDAR and 3D scanning, Multi-dimensional / 'hyperspectral' imaging combining lifetime with other imaging dimensions, Single-shot, multi-frame nanosecond imaging, Time-to-space conversion and temporal image multiplexing with gated cavity optics, Time-resolved charged particle detectors. Advantages of the device are High photon efficiency, All-optical method, FLIM acquisition on standard scientific cameras, FLIM acquisition in a single-frame exposure, Demonstrated 5 order of magnitude throughput improvement, Single-molecule compatible, No photon loss due to gating, Compatible with existing imaging systems and low-cost CMOS/CCD sensors."
Wide-field Resonant Electro-optic Imaging Devices and Applications,https://techfinder.stanford.edu/technology/wide-field-resonant-electro-optic-imaging-devices-and-applications,"The Kasevich lab has expanded on an earlier invention ( Stanford Docket 18-388: "" Efficient wide-field nanosecond imaging methods using Pockels cells for low-light applications""  ) that achieves efficient ultrafast temporal imaging on standard camera sensors. Current fast camera sensors have significant drawbacks and achieve nanosecond resolution only by sacrificing performance and sensitivity. Low-cost nanosecond camera sensors with favorable performance and form-factor are more desirable, especially for applications in LIDAR and fluorescence lifetime imaging. The Kasevich lab has developed resonant electro-optic imaging techniques and optimized the design of electro-optic crystals to allow compact, low-cost, and wide angular field-of-view imaging. Embodiments include multi-layer structures of low-cost electro-optic crystals and polarization optics, configurations to reduce switching voltage, and integrated systems for wide-field imaging. This technology is an advantageous approach to Pockels cell LIDAR beyond conventional ""flash"" imaging mode – combining high distance resolution with large depth of fields, which is not possible with traditional Pockels cell approaches. It is also compatible with mode-locked laser sources and megahertz repetition rates, and facilitates compact and low-cost nanosecond imaging and LIDAR on standard CMOS sensors. Stage of Development - Prototype Applications include LIDAR with enhanced resolution at large depth of field, Wide field ultrafast imaging, LIDAR and time-of-flight imaging for remote sensing, mapping, autonomous cars, 3D cameras, 3D scanners, and foreground object detection, Fluorescence lifetime imaging microscopy (FLIM) , FLIM + wide-field microscopy techniques, Single-molecule imaging and super-resolution microscopy, Light sheet microscopy, Medical diagnostics and endoscopic imaging, High speed optical switching. Advantages of the device are Compatible with standard CMOS cameras, Reduced switching voltage and power requirements, High photon efficiency, Compact and inexpensive construction, Industrially scalable, Avoids dead-time and throughput limitations of single-photon counting detectors."
Engineering functional cardiac tissue using a twist-expand mechanical bioreactor,https://techfinder.stanford.edu/technology/engineering-functional-cardiac-tissue-using-twist-expand-mechanical-bioreactor,"Stanford researchers have invented a twist-expand mechanical bioreactor that provides an appropriate in vitro microenvironment for induced pluripotent stem cell (iPSC) derived cardiomyocytes to achieve biomimetic anisotropic alignment and form contractile cardiac tissue. Many studies have successfully demonstrated directed differentiation of iPSCs into cardiomyocytes. However, further assembling and maturing the iPSC-derived cardiomyocytes to mimic the mechanics of the native heart tissue remains a challenge. To overcome this challenge, studies have created microenvironments resembling that of primary cardiomyocytes during development: micropillar structures were placed to provide a 3D environment and exogenous cues were applied to facilitate anisotropic alignment of cells for coordinated contraction and electrical conduction. The engineered tissue's maturation was improved but still not comparable to the native heart. Researchers at Stanford have devised a platform that provides a more biomimetic microenvironment (Figure 1). Using advanced 3D bioprinting technology, cells were printed with soft silicone in preferred arrangements. The print was placed in an electrically conductive bioreactor that can be actuated to apply torsional force or pneumatic pressure to the silicone to introduce twisting and contractile cardiac mechanics that the micropillar approach neglected to include. This system has the potential to form functional macro-level heart tissues from iPSC-derived cardiomyocytes.  Stage of Development Prototype Applications include Cardiac tissue engineering, Drug testing, Disease modeling, Developmental studies. Advantages of the device are Mimics the complex contractile pattern of the native heart tissue better than other existing systems, Potential for personalized treatment."
Modeling human sensory ascending pathway in assembloids derived from human pluripotent stem cells,https://techfinder.stanford.edu/technology/modeling-human-sensory-ascending-pathway-assembloids-derived-human-pluripotent-stem,"The ascending somatosensory pathway transmits sensory information, including pain, touch and itch, from the peripheral nervous system to the brain. Dysfunctions in this pathway are linked to disorders like peripheral neuropathy and autism spectrum disorder. Despite a significant need for effective therapeutics modulating pain and other somatosensory modalities, clinical translation remains challenging, which is likely related to species-specific features and the lack of in vitro models to directly probe and manipulate this polysynaptic pathway. To remedy this issue, Stanford researchers have developed the first human ascending sensory pathway model using assembloids. The method involves differentiating human induced pluripotent stem (hiPS) cells into regionalized neural organoids resembling the components of the human sensory ascending pathway (Figure 1). This model provides a unique opportunity to directly study and manipulate the human sensory ascending pathway, overcoming previous challenges. This platform also enables functional analysis, including synchronized neural activity across the entire sensory pathway, offering a powerful tool for drug discovery targeting sensory disorders. Figure:  Figure description: Building human ascending somatosensory assembloid from human induced pluripotent stem cells. Image Credit: inventors Stage of Development Proof of concept- models have shown to trigger and ascend the full sensory pathway Applications include Autism spectrum disorder, Peripheral neuropathy, Research mechanisms of sensory processing and pathogenesis, Identification of novel therapeutic targets. Advantages of the device are First human cellular model of the ascending sensory pathway, Human-Specific Sensory Circuitry: Provides the first in vitro model that resembles the human ascending somatosensory pathway, overcoming the limitations of species differences in animal models., Comprehensive Functional Analysis: Enables simultaneous monitoring of neural activity across multiple interconnected regions (sensory, spinal, thalamic, and cortical) through calcium imaging and extracellular recordings., Targeted Disease Modeling and Therapeutic Screening: Allows for the study of sensory disorders, such as pain insensitivity, through genetic manipulation (e.g., SCN9A knockout) and offers a platform for high-throughput drug discovery targeting human sensory pathways.."
Composition and Method for Autonomous RNA Switches for Translational Control,https://techfinder.stanford.edu/technology/composition-and-method-autonomous-rna-switches-translational-control,"Stanford scientists have discovered that the untranslated region (UTR) of RNA can be engineered into autonomous switches capable of both sensing native biological conditions (e.g. T cell activation) and promptly responding by initiating the translation of a therapeutic sequence (e.g. a chimeric antigen receptor). Autonomous mRNA switches can provide dynamic regulation within cellular immunotherapies and offer broad utility in next-generation mRNA therapeutics, such as engineering chimeric antigen receptor (CAR) T cells in vivo. Ex vivo CAR T cell therapy has shown significant success in treating oncology patients and combating malignant tumors. However, this approach is limited by the expensive and time-consuming ex vivo production process, which can take several weeks, and the challenge of administering only a single effective dose to patients, leading to potential tumor relapse. In contrast, in vivo CAR T cell therapy offers a promising solution by directly engineering T cells within patients using mRNA therapeutics. This innovative approach enables rapid and customizable production, with the transient nature of mRNA therapies allowing for precise temporal control of therapeutic doses. Nevertheless, advancements are needed to develop technologies capable of sensing relevant biological conditions and tightly regulating the translation of therapeutic payloads. Novel strategies for controlling mRNA expression in T cells will enable the development of in vivo T cell therapies that can alleviate T cell dysfunction while preserving the protective immune responses required for human health. Novel engineered UTR sequences resulted in RNA elements that can sense T cell signals and modulate therapeutic mRNA expression as ON/OFF switches. These mRNA switches have been shown to induce the translation of genetic payloads upon T-cell activation. The use of these mRNA switches to control the translation of a CAR in engineered T cells resulted in the expression of the CAR and the killing of antigen-positive tumor cells. Importantly, when co-cultured with antigen-negative cells, there was no difference in CAR expression or killing when compared to baseline. Consequently, autonomous mRNA switches have the potential to enhance cellular immunotherapies and enable the development of in vivo CAR T cell therapies. Stage of Development: Preclinical – in vitro data Continued research – in vivo demonstration of efficacy and further description of switches that capture other immune cell states (e.g. T cell exhaustion, NK cell activation, etc.). The inventors have demonstrated that the switch works efficiently with viral delivery methods, and future work will demonstrate its utility with non-viral delivery methods in various molecular forms. Applications include Production of mRNA switches that can sense and respond to native biological conditions (e.g. T cell activation), Synthetic regulation of therapeutic payloads in situ, Engineering of cellular immunotherapies in vivo. Advantages of the device are Precise control of the translation of genetic payloads, Rapid and customizable production of mRNA switches, Flexible temporal control of therapeutic dosing due to the transient nature of mRNA."
One-Time Delivery of Genetically Engineered Stem Cells Enable Long-Term Secretion of Therapeutic Antibodies for Treatment of HIV-1,https://techfinder.stanford.edu/technology/one-time-delivery-genetically-engineered-stem-cells-enable-long-term-secretion,"Stanford researchers have engineered hematopoietic stem cells to provide long-term secretion of chosen therapeutic antibodies, eliminating the need of repeated dosing for delivery. Thirty nine million people worldwide are living with HIV infection. Autologous transplantation of specific hematopoietic stem and progenitor cells (HSPCs) is the only known cure for HIV-1 infection. However, this treatment is extremely limited due to the rarity of specific matched donors, the morbidities associated with allogeneic transplantation, and the prevalence of HIV-1 strains resistant to select gene knockout treatments alone. To circumvent these limitations, Stanford researchers genetically engineered HSPCs that secrete antibodies against various targets, including but not limited to HIV, PCSK9, and TNF-alpha. The genetically engineered HSPCs can be delivered via a one-time therapy through autologous transplantation. This technology could be used to develop autologous hematopoietic stem cell transplantation therapies for the long-term delivery of therapeutic antibodies for various diseases. The engineered cells also have the potential to improve current commercial treatment strategies that address long-term control of HIV-1 infection; A disease that currently requires lifetime administration of antiretroviral therapy. Stage of research Proof of concept Applications include Secrete antibodies against various targets (i.e. HIV, PCSK9, and TNF-alpha), Autologous hematopoietic stem cell transplantation therapies, Research tool for control of HIV-1, Development of antibody treatment therapies. Advantages of the device are Long-term secretion/sustained delivery of chosen therapeutic antibodies without repeated dosing, Can express multiple antibodies simultaneously, Limited comparable cell-based products currently on the market."
G-I-ntelligent pill (GIntellipill) for active sample collection in the gastrointestinal tract,https://techfinder.stanford.edu/technology/g-i-ntelligent-pill-gintellipill-active-sample-collection-gastrointestinal-tract,"Researchers at Stanford University have developed an ingestible smart pill to sample biomarkers from the gastrointestinal (GI) tract. The GI tract plays an important role in maintaining overall health, as it is responsible for digesting food, absorbing nutrients, and eliminating waste. Sampling from the GI tract, particularly its mucous layer, is essential in understanding gut health and disease. Bioanalytes from the mucus can provide insights into inflammation, metabolic function, and immune response. Currently, invasive procedures like endoscopy and colonoscopy are used to sample from the GI tract. There is a need for a non-invasive method. Smart pills have recently emerged as non-invasive sampling platforms. However, to date, they have relied on passive diffusion and thus are not suitable for viscous mucus. Stanford researchers have designed a smart pill that can be swallowed and docked at a desired location in the GI tract for active sampling of the mucus. After confirming the pill's location within the GI tract, its hydrodynamic screw is remotely actuated. The rotational motion facilitates the collection of mucus samples along its spiral path, directing them towards a dedicated collection chamber. This technology could enable easy, simple, affordable, and repeat sampling of GI tract regions of interest.  Stage of Development Prototype Applications include Precision medicine, Early disease detection, Health monitoring, Disease management. Advantages of the device are Can collect high viscosity samples, Multiple sampling locations, Cost-effective, Non-invasive, Enables frequent high quality data collection."
Spinner Device for Kidney Stone and Dust Removal,https://techfinder.stanford.edu/technology/spinner-device-kidney-stone-and-dust-removal,"Researchers at Stanford University have developed a novel kidney stone extraction device that can be used during ureteroscopy to simultaneously remove kidney stone fragments and dust without affecting renal pressure. Kidney stones are clusters of minerals and salts that form in the urinary tract, potentially causing severe pain from urinary tract obstruction, renal injury, or infections. During ureteroscopy, an endoscope is inserted through the urethra to break up larger stones with lasers or ultrasound. Fragments are either retrieved or, if small, allowed to pass naturally. Unfortunately, residual fragments and dust often cause recurrent symptomatic obstruction and stone regrowth. Therefore, there is a critical need for a more efficient clearance method. In response, vacuum-assisted sheaths have been recently introduced. However, they remove renal fluid along with the debris, necessitating fluid infusion to sustain the renal pressure. Stanford researchers at the Zhao Lab have designed a safer and more efficient kidney stone fragments and dusts extraction device that can be used together with kidney stone breaking devices. Their device is based on rotation to manipulate the flow and create a vortex that provides a localized suction towards the device to capture the stone fragments and dusts in the device. Unlike the vacuum-assisted device, this device avoids the risk of collapsing the kidney due to irregularly reduced intrarenal pressure. Stage of Development Proof of concept – in vitro data Applications include Kidney stone removal. Advantages of the device are Complete clearance of stones of varying sizes, Reduced treatment time, Reduced risk of recurrence."
Stereotactic Deep Brain Transcranial Magnetic Stimulation,https://techfinder.stanford.edu/technology/stereotactic-deep-brain-transcranial-magnetic-stimulation,"Stanford researchers have patented systems and methods for Stereotactic Deep Brain Transcranial Magnetic Stimulation (TMS). Deep Brain TMS can be used to stimulate, enhance or inhibit neural activity in deep-brain target regions for diagnostic and predictive (e.g., treatment formulation) purposes. This technology can be used for neuroscience research as well as clinical psychiatric, neurological, and neurosurgical applications. Applications include Neuroscience research, Clinical psychiatric, neurological, and neurosurgical applications including but not limited to: , Alzheimer's disease, Brain stimulation, Neurological, Obsessive-compulsive disorder, Pain management, Parkinson's disease, Psychiatric, Seizures. Advantages of the device are Deep, targeted application, Non-invasive."
Using a probabilistic model to infer target labels for unsupervised BCI recalibration,https://techfinder.stanford.edu/technology/using-probabilistic-model-infer-target-labels-unsupervised-bci-recalibration,"Stanford researchers have developed a system that addresses a critical challenge in brain-computer interface (BCI) technology: the need for tedious and lengthy recalibration procedures that disrupt daily use. It features a BCI cursor decoder that automatically adapts to the user's brain activity, eliminating the need for frequent manual recalibration. The system records brain signals, translates them into commands to control a cursor, and enables users to perform tasks like checking email, browsing the Internet, and interacting with graphical user interfaces. Over time, it improves its accuracy by learning from the brain signals without requiring human intervention, making it more reliable and user-friendly for daily computer navigation. Applications include BCI cursor decoders using surface recording signals (EEG, MEG, fNIRS), BCI cursor decoders using intracranial approaches (ECoG, intracortical), Unsupervised retraining of cursor decoders for use in patient population. Advantages of the device are Automates BCI cursor decoder recalibration, eliminating tedious manual calibrations, Improves upon BCI cursor decoder calibration stability over time, Automatically adapts BCI cursor decoder to the user's brain activity."
Microbial-driven atmospheric CO2 conversion for large-scale carbon sequestration,https://techfinder.stanford.edu/technology/microbial-driven-atmospheric-co2-conversion-large-scale-carbon-sequestration,"Stanford scientists have developed a method that utilizes specialized microbes to capture and convert dilute atmospheric carbon dioxide into reduced organic compounds. This innovative technology, capable of metabolizing CO2 at low, atmospheric concentrations, offers a promising approach to large-scale carbon sequestration, potentially contributing to global efforts to remove tens of gigatons of carbon dioxide annually by 2030. Carbon dioxide (CO2) is a primary contributor to global warming, with atmospheric concentrations steadily increasing due to human activities. Traditional CO2 capture methods often require energy-intensive processes to concentrate and convert the gas, and there are limited end uses for CO2, reducing incentive for CO2 capture and limiting the large-scale applicability. Biological systems, particularly CO2-respiring microbes, offer a promising alternative due to their ability to metabolize CO2 at low concentrations and ambient conditions. Unlike energy-intensive chemical processes, these commonly anaerobic microorganisms can directly capture and convert dilute CO2 into useful organic compounds, operating efficiently in moderately alkaline solutions at ambient temperatures and pressures. Understanding the mechanisms of microbial CO2 metabolism and the conditions that facilitate it could lead to the development of efficient, large-scale carbon capture and conversion technologies. Preliminary experiments with the microbial CO2 capture and conversion system demonstrated successful production of reduced carbon compounds from indoor air. Importantly, the system consumed CO2 to levels below average atmospheric concentrations at sea level, indicating effective carbon sequestration. These results suggest that the microbial technology is capable of both capturing and converting dilute atmospheric CO2. Consequently, this approach has the potential to significantly contribute to global carbon sequestration efforts and transform climate change mitigation strategies by offering a sustainable method to remove CO2 from the atmosphere while producing valuable organic compounds. Stage of Development: Proof of Concept Continued research – Operation of the technology in a continuous system at a larger scale. Optimize process to maximize energetic conversion and efficiency. Identifying microbial ecologies to mediate and enhance the robustness of the process. Applications include Large-scale atmospheric carbon dioxide removal, Production of valuable reduced organic compounds, Integration with industrial processes for on-site carbon capture and utilization. Advantages of the device are Captures and converts CO2 at low, atmospheric concentrations from gas or aqueous streams, Operates at ambient temperatures and pressures, reducing energy requirements, Tolerant to common industrial gas impurities like hydrogen sulfide and sulfur oxides, Potential for continuous operation without the need for regeneration steps."
Subterranean thermal energy storage system for concentrating solar power,https://techfinder.stanford.edu/technology/subterranean-thermal-energy-storage-system-concentrating-solar-power,"Researchers in the Stanford School of Sustainability have patented a sustainable, cost-effective, scalable subsurface energy storage system with the potential to revolutionize solar thermal energy storage by making solar energy available 24/7 for a wide range of industrial applications. Subsurface thermal energy storage addresses key challenges faced by solar thermal energy: intermittency and the need for large-scale, long-term storage. Instead of using above ground insulated tanks with exotic molten salts for energy storage, this method (see Figure 1) uses the vast pore volume of depleted oil and gas fields for heat storage, which reduces above-ground infrastructure, cuts costs, increases the amount of energy that may be stored, is scalable, and potentially reduces heat losses.  The heat is stored in the reservoir until there is a demand for energy. The energy is brought to the surface and can be used to generate electricity or process heat, making the system adaptable for different industrial applications, and potentially converting solar thermal energy to a base load renewable energy.   Figure 1 Subsurface storage system for thermal energy (Image courtesy SUETRI-A) Solar collectors generate saturated steam, which is injected into underground reservoirs (ideally warmed from past thermally enhanced oil recovery (TEOR) processes, minimizing heat loss).  Heat is withdrawn from the reservoir as saturated steam and is used to operate an active thermal recovery project (such as a producing thermally enhanced oil reservoir) and/or to generate electricity. Applications include Clean energy:, Concentrated solar energy, Steam-powered electricity generation , Thermal oil recovery (TEOR) and decarbonization in oil production, Industrial processes requiring  heat. Advantages of the device are Reduces costs, Less expensive than molten salts used in conventional solar heat storage, Significantly reduces the need for above-ground infrastructure and costs compared to conventional systems, Leverages existing oil field infrastructure, Scalable, large-scale storage with expanded energy capacity, Reduces heat loss, Dual functionality and adaptable for different industrial applications, Reduces carbon dioxide footprint of thermally enhanced oil recovery  - shifts fuel from natural gas to solar radiation, Balances the daily and seasonal variations of solar radiation, Reduces operational risk - integration of existing geothermal and oil extraction techniques reduces operational risk and leverages geothermal technology to handle steam and mitigate issues like scale formation in wellbore equipment."
Plasmonic gas diffusion reactor for CO2 conversion to high-value chemicals,https://techfinder.stanford.edu/technology/plasmonic-gas-diffusion-reactor-co2-conversion-high-value-chemicals,"Industry, government, and private investment in CO2 capture is growing to address climate change.  Without carbon utilization, however, high costs impede large scale capture efforts.  Alexander Al Zubeidi, a Stanford post doc in the D-Lab, has developed an inexpensive, scalable gas flow cell based system to convert atmospheric CO2 to other hydrocarbon based chemicals (like ethylene) using light and excess renewable electricity.   Figure 1 – Prototype Cell Process (Image courtesy the D-Lab) In the prototype system, gas enters the reactor cell via a gas flow channel, flows over the gas diffusion electrode covered in copper nanoparticles and electrolyte solution at ambient temperature.  Visible light (450-800 nm) enters through the cell window, exciting copper nanoparticle electrons that reduce CO2 to ethylene.  These electrolyzers can produce hydrocarbon based chemicals and syngas, a mixture of H2 and O2. Unlike competing electrolyzers that are built to operate on large scales, with long payback periods that typically require high capacity factors, the D-Lab system (Figure 2) can operate when renewable energy is in excess, generating net-zero emissions and converting point-source CO2 emissions to high-value products.  This inexpensive, scalable plasmonic gas flow reactor system provides cost effective carbon capture CO2 gas separation and storage while producing valuable feedstocks for the chemical industry or zero-carbon fuels.   Figure 2 – Scaled Up Reactor Array  (Image courtesy the D-Lab) Stage of Development – Proof of Concept Prototype Applications include Industrial chemical production, especially ethylene, Green fuel / hydrocarbon based fuel production, Syngas production. Advantages of the device are Low cost ethylene production with high cap-ex return:  A 20 x 20 cm2 reactor operating at 80% selectivity for ethylene at 0.5 A/ cm2 operated 6 h a day can produce enough ethylene in 1 month to pay for itself., Compact, scalable and mass producible: Easy to ship and scale up using eletrolyzers in parallel to keep production and supply chain uncomplicated., No purification of reactants: The gas diffusion electrode operates with captured CO2 and gas mixtures containing CO2, which reduces upfront costs and energy consumption., Operates at ambient temperature: The electrolyzer can be started and shut down rapidly, allowing it to only operate when electricity costs are low., Does not require CH3."
Using deep learning to predict ankle-brachial index from Doppler sounds in diabetic patients,https://techfinder.stanford.edu/technology/using-deep-learning-predict-ankle-brachial-index-doppler-sounds-diabetic-patients,"Stanford researchers have developed AutoABI, a deep learning system that predicts ankle-brachial index (ABI) from Doppler ultrasound sounds. This approach offers a new method for ABI measurements, particularly useful for patients with non-compressible arteries, such as those with diabetes. By analyzing Doppler sounds, AutoABI provides a straightforward way to assess peripheral artery disease (PAD) risk without traditional blood pressure cuffs. The system could improve the accessibility and efficiency of PAD diagnosis in point-of-care settings, where quick and accurate assessments are valuable. Ankle-brachial index (ABI) is a crucial diagnostic tool for peripheral artery disease (PAD), but current measurement methods face significant limitations. Traditional ABI assessment requires inflating a blood pressure cuff while using Doppler ultrasound to measure blood flow in the tibial arteries. However, this technique proves unreliable in patients with non-compressible arteries, a common condition in diabetics with PAD. These patients often have medial arterial calcification, leading to falsely elevated and unreliable ABI readings. The prevalence of diabetes and the increasing need for accurate PAD diagnosis underscores the importance of developing more versatile, point-of-care ABI measurement techniques. An improved method that can provide reliable ABI estimates without relying on blood pressure cuffs could significantly enhance PAD diagnosis and management, particularly in challenging patient populations. AutoABI, a deep learning system integrated into a hand-held Doppler device, successfully predicts ankle-brachial index (ABI) directly from audible Doppler sounds without the need for blood pressure cuffs. This innovative approach enables ABI measurements in patients with non-compressible arteries, a common issue in diabetics with PAD. The device's on-board computer processes Doppler signals in real-time, displaying results on an integrated touch screen for immediate clinical use. By offering a more versatile and accessible method for ABI assessment, AutoABI has the potential to significantly improve PAD diagnosis and management across various healthcare settings, from hospital wards to vascular labs. Stage of Development: Prototype Continued research: fully integrating the computer and deep learning computation within the Doppler device itself, eliminating the need for external processing and creating a self-contained, portable ABI measurement system. Applications include Diagnosis and monitoring of peripheral artery disease (PAD), Ankle-brachial index (ABI) measurements in patients with non-compressible arteries, such as diabetics, Point-of-care vascular health assessments in clinics and hospital wards, Integration into existing vascular lab equipment for enhanced capabilities. Advantages of the device are Eliminates the need for blood pressure cuffs in ABI measurements, Provides reliable ABI estimates for patients with calcified arteries, Increases accessibility of ABI testing in various clinical settings, Offers real-time, on-device processing and results display, Simplifies the ABI measurement process for healthcare providers, Potential for improved PAD diagnosis rates and patient outcomes."
